,Unnamed: 0,Unnamed: 0.1,text,term,polarity,polarity_id,label,question,answer
20,20,20.0,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,1,1,what is the sentiment of rubber enclosure,The sentiment is positive
21,21,21.0,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,2,1,what is the sentiment of edge,The sentiment is negative
22,22,22.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,1,1,what is the sentiment of multi-touch gestures,The sentiment is positive
23,23,23.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,1,1,what is the sentiment of tracking area,The sentiment is positive
24,24,24.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,neutral,0,1,what is the sentiment of external mouse,The sentiment is neutral
25,25,25.0,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral,0,1,what is the sentiment of gaming,The sentiment is neutral
26,26,26.0,I love the way the entire suite of software works together.,suite of software,positive,1,1,what is the sentiment of suite of software,The sentiment is positive
27,27,27.0,The speed is incredible and I am more than satisfied.,speed,positive,1,1,what is the sentiment of speed,The sentiment is positive
28,28,28.0,This laptop meets every expectation and Windows 7 is great!,Windows 7,positive,1,1,what is the sentiment of Windows 7,The sentiment is positive
29,29,29.0,I can barely use any usb devices because they will not stay connected properly.,usb devices,negative,2,1,what is the sentiment of usb devices,The sentiment is negative
30,30,31.0,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,neutral,0,1,what is the sentiment of software,The sentiment is neutral
31,31,32.0,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,negative,2,1,what is the sentiment of system,The sentiment is negative
32,32,33.0,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,negative,2,1,what is the sentiment of Microsoft office for the mac,The sentiment is negative
33,33,34.0,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,1,1,what is the sentiment of syncing,The sentiment is positive
34,34,35.0,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",positive,1,1,"what is the sentiment of 30"" HD Monitor",The sentiment is positive
35,35,36.0,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,0,1,what is the sentiment of screen,The sentiment is neutral
36,36,37.0,The machine is slow to boot up and occasionally crashes completely.,boot up,negative,2,1,what is the sentiment of boot up,The sentiment is negative
37,37,38.0,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,2,1,what is the sentiment of service,The sentiment is negative
38,38,40.0,I love the operating system and the preloaded software.,operating system,positive,1,1,what is the sentiment of operating system,The sentiment is positive
39,39,41.0,I love the operating system and the preloaded software.,preloaded software,positive,1,1,what is the sentiment of preloaded software,The sentiment is positive
40,40,42.0,The best thing about this laptop is the price along with some of the newer features.,price,positive,1,1,what is the sentiment of price,The sentiment is positive
41,41,43.0,The best thing about this laptop is the price along with some of the newer features.,features,positive,1,1,what is the sentiment of features,The sentiment is positive
42,42,44.0,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,negative,2,1,what is the sentiment of clock in BIOS setup,The sentiment is negative
43,43,45.0,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative,2,1,what is the sentiment of WARRANTY SERVICE,The sentiment is negative
44,44,46.0,but now i have realized its a problem with this brand.,brand,negative,2,1,what is the sentiment of brand,The sentiment is negative
45,45,47.0,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,positive,1,1,what is the sentiment of warranty,The sentiment is positive
46,46,48.0,I was looking for a mac which is portable and has all the features that I was looking for.,features,positive,1,1,what is the sentiment of features,The sentiment is positive
47,47,49.0,Also kinda loud when the fan was running.,fan,negative,2,1,what is the sentiment of fan,The sentiment is negative
48,48,50.0,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,0,1,what is the sentiment of Customer Service number,The sentiment is neutral
49,49,51.0,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,2,1,what is the sentiment of warranty,The sentiment is negative
50,50,52.0,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,2,1,what is the sentiment of talking to a technician,The sentiment is negative
51,51,53.0,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,2,1,what is the sentiment of hard disc,The sentiment is negative
52,52,54.0,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,2,1,what is the sentiment of windows,The sentiment is negative
53,53,55.0,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,0,1,what is the sentiment of drivers,The sentiment is neutral
54,54,56.0,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,1,1,what is the sentiment of Drivers,The sentiment is positive
55,55,57.0,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,2,1,what is the sentiment of BIOS update,The sentiment is negative
56,56,58.0,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,2,1,what is the sentiment of system,The sentiment is negative
57,57,59.0,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,0,1,what is the sentiment of HP Technical Support,The sentiment is neutral
58,58,60.0,"Speaking of the browser, it too has problems.",browser,negative,2,1,what is the sentiment of browser,The sentiment is negative
59,59,61.0,The keyboard is too slick.,keyboard,negative,2,1,what is the sentiment of keyboard,The sentiment is negative
60,60,62.0,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,0,1,what is the sentiment of virus scan,The sentiment is neutral
61,61,63.0,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,2,1,what is the sentiment of 9 punds,The sentiment is negative
62,62,64.0,It's just as fast with one program open as it is with sixteen open.,program,neutral,0,1,what is the sentiment of program,The sentiment is neutral
63,63,65.0,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,2,1,what is the sentiment of warrenty,The sentiment is negative
64,64,66.0,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,2,1,what is the sentiment of Toshiba Warranty,The sentiment is negative
65,65,67.0,Amazing Quality!,Quality,positive,1,1,what is the sentiment of Quality,The sentiment is positive
66,66,68.0,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,0,1,what is the sentiment of webcam,The sentiment is neutral
67,67,69.0,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,1,1,what is the sentiment of value,The sentiment is positive
68,68,70.0,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,0,1,what is the sentiment of internet,The sentiment is neutral
69,69,71.0,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,0,1,what is the sentiment of managing personal files,The sentiment is neutral
70,70,72.0,"A month or so ago, the freaking motherboard just died.",motherboard,negative,2,1,what is the sentiment of motherboard,The sentiment is negative
71,71,73.0,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,2,1,what is the sentiment of system,The sentiment is negative
72,72,74.0,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,2,1,what is the sentiment of charger,The sentiment is negative
73,73,75.0,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,2,1,what is the sentiment of hardware,The sentiment is negative
74,74,76.0,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,1,1,what is the sentiment of force quit,The sentiment is positive
75,75,77.0,It rarely works and when it does it's incredibly slow.,works,negative,2,1,what is the sentiment of works,The sentiment is negative
76,76,78.0,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,1,1,what is the sentiment of Windows 7,The sentiment is positive
77,77,79.0,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,0,1,what is the sentiment of VMWare program,The sentiment is neutral
78,78,80.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,1,1,what is the sentiment of operating system,The sentiment is positive
79,79,81.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,1,1,what is the sentiment of runs,The sentiment is positive
80,80,82.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,1,1,what is the sentiment of navigate,The sentiment is positive
81,81,83.0,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,1,1,what is the sentiment of find files,The sentiment is positive
82,82,84.0,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,2,1,what is the sentiment of warrenty,The sentiment is negative
83,83,85.0,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,0,1,what is the sentiment of extended warranty,The sentiment is neutral
84,84,86.0,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,0,1,what is the sentiment of memory,The sentiment is neutral
85,85,87.0,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,1,1,what is the sentiment of speed,The sentiment is positive
86,86,88.0,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,1,1,what is the sentiment of performace,The sentiment is positive
87,87,89.0,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,2,1,what is the sentiment of opening my Documents folder,The sentiment is negative
88,88,90.0,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,2,1,what is the sentiment of operating systems,The sentiment is negative
89,89,91.0,"Then, within 5 months, the charger crapped out on me.",charger,negative,2,1,what is the sentiment of charger,The sentiment is negative
90,90,92.0,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,1,1,what is the sentiment of speed,The sentiment is positive
91,91,93.0,I love the glass touchpad.,glass touchpad,positive,1,1,what is the sentiment of glass touchpad,The sentiment is positive
92,92,94.0,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,2,1,what is the sentiment of hard drive,The sentiment is negative
93,93,95.0,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,2,1,what is the sentiment of mother board,The sentiment is negative
94,94,96.0,I am using the external speaker- sound is good.,external speaker,positive,1,1,what is the sentiment of external speaker,The sentiment is positive
95,95,97.0,I am using the external speaker- sound is good.,sound,positive,1,1,what is the sentiment of sound,The sentiment is positive
96,96,98.0,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,2,1,what is the sentiment of battery life,The sentiment is negative
97,97,99.0,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,2,1,what is the sentiment of hardware,The sentiment is negative
98,98,100.0,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,2,1,what is the sentiment of shipping,The sentiment is negative
99,99,101.0,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,1,1,what is the sentiment of Mac software,The sentiment is positive
100,100,102.0,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,2,1,what is the sentiment of Microsoft software,The sentiment is negative
101,101,103.0,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,1,1,what is the sentiment of use,The sentiment is positive
102,102,104.0,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,2,1,what is the sentiment of delete  key,The sentiment is negative
103,103,105.0,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,2,1,what is the sentiment of editing,The sentiment is negative
104,104,106.0,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,1,1,what is the sentiment of use,The sentiment is positive
105,105,107.0,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,1,1,what is the sentiment of service,The sentiment is positive
106,106,108.0,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,1,1,what is the sentiment of phone assistance,The sentiment is positive
107,107,109.0,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,1,1,what is the sentiment of genius bar,The sentiment is positive
108,108,110.0,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,1,1,what is the sentiment of battery life,The sentiment is positive
109,109,111.0,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,1,1,what is the sentiment of battery life,The sentiment is positive
110,110,112.0,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,0,1,what is the sentiment of gaming,The sentiment is neutral
111,111,113.0,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,0,1,what is the sentiment of movie playing,The sentiment is neutral
112,112,114.0,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,0,1,what is the sentiment of web browsing,The sentiment is neutral
113,113,115.0,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,neutral,0,1,what is the sentiment of word editing,The sentiment is neutral
114,114,116.0,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,1,1,what is the sentiment of recovery discs,The sentiment is positive
115,115,117.0,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,0,1,"what is the sentiment of Office Max's ""Max Assurance""",The sentiment is neutral
116,116,118.0,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,0,1,what is the sentiment of iMac backup disc,The sentiment is neutral
117,117,119.0,I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,0,1,what is the sentiment of USB,The sentiment is neutral
118,118,120.0,"The battery life seems to be very good, and have had no issues with it.",battery life,positive,1,1,what is the sentiment of battery life,The sentiment is positive
119,119,121.0,Enabling the battery timer is useless.,battery timer,negative,2,1,what is the sentiment of battery timer,The sentiment is negative
120,120,122.0,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,0,1,what is the sentiment of Temperatures,The sentiment is neutral
121,121,123.0,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,0,1,what is the sentiment of Core Processing Unit temperatures,The sentiment is neutral
122,122,124.0,Going to bring it to service today.,service,neutral,0,1,what is the sentiment of service,The sentiment is neutral
123,123,125.0,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,1,1,what is the sentiment of virus protection for Mac,The sentiment is positive
124,124,126.0,"But we had paid for bluetooth, and there was none.",bluetooth,negative,2,1,what is the sentiment of bluetooth,The sentiment is negative
125,125,127.0,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,0,1,what is the sentiment of LG notebook service center,The sentiment is neutral
126,126,128.0,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,2,1,what is the sentiment of hinge,The sentiment is negative
127,127,129.0,"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,0,1,what is the sentiment of games,The sentiment is neutral
128,128,130.0,"It is always reliable, never bugged and responds well.",responds,positive,1,1,what is the sentiment of responds,The sentiment is positive
129,129,131.0,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,2,1,what is the sentiment of motherboard,The sentiment is negative
130,130,132.0,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral,0,1,what is the sentiment of motherboard,The sentiment is neutral
131,131,133.0,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,2,1,what is the sentiment of hardware,The sentiment is negative
132,132,134.0,they had to replace the motherboard in April,motherboard,negative,2,1,what is the sentiment of motherboard,The sentiment is negative
133,133,135.0,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,1,1,what is the sentiment of use,The sentiment is positive
134,134,136.0,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,2,1,what is the sentiment of representive at Microsoft,The sentiment is negative
135,135,137.0,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,2,1,what is the sentiment of system,The sentiment is negative
136,136,138.0,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,1,1,what is the sentiment of XP,The sentiment is positive
137,137,139.0,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,1,1,what is the sentiment of WIndows 7,The sentiment is positive
138,138,140.0,I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,2,1,what is the sentiment of Vista,The sentiment is negative
139,139,141.0,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,1,1,what is the sentiment of Keyboard,The sentiment is positive
140,140,142.0,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,2,1,what is the sentiment of Dell's customer disservice,The sentiment is negative
141,141,143.0,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,2,1,what is the sentiment of cooling system,The sentiment is negative
142,142,144.0,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,0,1,what is the sentiment of use,The sentiment is neutral
143,143,145.0,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,1,1,what is the sentiment of quad core I7,The sentiment is positive
144,144,146.0,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,1,1,what is the sentiment of sales associate,The sentiment is positive
145,145,147.0,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,1,1,what is the sentiment of system,The sentiment is positive
146,146,148.0,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,0,1,what is the sentiment of Windows applications,The sentiment is neutral
147,147,149.0,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,2,1,what is the sentiment of virus program,The sentiment is negative
148,148,150.0,It weighed like seven pounds or something like that.,weighed,neutral,0,1,what is the sentiment of weighed,The sentiment is neutral
149,149,151.0,It weighed like seven pounds or something like that.,seven pounds,neutral,0,1,what is the sentiment of seven pounds,The sentiment is neutral
150,150,152.0,"2 months later, the battery went.",battery,negative,2,1,what is the sentiment of battery,The sentiment is negative
151,151,153.0,You may need to special order a bag.,bag,neutral,0,1,what is the sentiment of bag,The sentiment is neutral
152,152,154.0,It's color is even cool.,color,positive,1,1,what is the sentiment of color,The sentiment is positive
153,153,155.0,keys are all in weird places and is way too large for the way it is designed.,keys,negative,2,1,what is the sentiment of keys,The sentiment is negative
154,154,156.0,keys are all in weird places and is way too large for the way it is designed.,designed,negative,2,1,what is the sentiment of designed,The sentiment is negative
155,155,157.0,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,1,1,what is the sentiment of style,The sentiment is positive
156,156,158.0,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,1,1,what is the sentiment of speed,The sentiment is positive
157,157,159.0,The keyboard feels good and I type just fine on it.,keyboard,positive,1,1,what is the sentiment of keyboard,The sentiment is positive
158,158,160.0,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,0,1,what is the sentiment of mousepad,The sentiment is neutral
159,159,161.0,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,2,1,what is the sentiment of battery,The sentiment is negative
160,160,162.0,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,1,1,what is the sentiment of sales,The sentiment is positive
161,161,163.0,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,1,1,what is the sentiment of service,The sentiment is positive
162,162,164.0,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,1,1,what is the sentiment of DELL SUPPORT,The sentiment is positive
163,163,165.0,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,0,1,what is the sentiment of hard drive,The sentiment is neutral
164,164,166.0,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,0,1,what is the sentiment of motherboard,The sentiment is neutral
165,165,167.0,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,1,1,what is the sentiment of speed,The sentiment is positive
166,166,168.0,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,1,1,what is the sentiment of construction quality,The sentiment is positive
167,167,169.0,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,1,1,what is the sentiment of longevity,The sentiment is positive
168,168,171.0,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,1,1,what is the sentiment of keyboard,The sentiment is positive
169,169,172.0,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,1,1,what is the sentiment of keys,The sentiment is positive
170,170,173.0,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,1,1,"what is the sentiment of configuration of ""extra key""",The sentiment is positive
171,171,174.0,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,0,1,what is the sentiment of touch pad,The sentiment is neutral
172,172,175.0,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,1,1,what is the sentiment of use,The sentiment is positive
173,173,176.0,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,1,1,what is the sentiment of security,The sentiment is positive
174,174,178.0,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,2,1,what is the sentiment of use,The sentiment is negative
175,175,179.0,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,2,1,what is the sentiment of work,The sentiment is negative
176,176,180.0,lots of preloaded software.,preloaded software,positive,1,1,what is the sentiment of preloaded software,The sentiment is positive
177,177,181.0,"I wish it had a webcam though, then it would be perfect!",webcam,negative,2,1,what is the sentiment of webcam,The sentiment is negative
