,text,category,polarity,polarity_id,label,question,answer
44,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",ambience,positive,1,1,which category in the text is positive,ambience
45,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,1,1,which category in the text is positive,food
46,"Great food at REASONABLE prices, makes for an evening that can't be beat!",price,positive,1,1,which category in the text is positive,price
47,Look foward to trying the Ruben upon returning.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
48,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
49,We usually go to the Chart House to celebrate a birthday or anniversary.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
50,this little place has a cute interior decor and affordable city prices.,ambience,positive,1,1,which category in the text is positive,ambience
51,this little place has a cute interior decor and affordable city prices.,price,positive,1,1,which category in the text is positive,price
52,You'll adore it.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
53,Two words: Free wine.,price,positive,1,1,which category in the text is positive,price
54,The price is reasonable although the service is poor.,service,negative,0,1,which category in the text is negative,service
55,The price is reasonable although the service is poor.,price,positive,1,1,which category in the text is positive,price
56,"The quantity is also very good, you will come out satisfied.",food,positive,1,1,which category in the text is positive,food
57,I have been to Roth's twice and both times were very disappointing.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
58,Worth visiting the 1st Ave spot because it is the original store.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
59,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
60,"Raga's is a romantic, cozy restaurant.",ambience,positive,1,1,which category in the text is positive,ambience
61,The fried rice is amazing here.,food,positive,1,1,which category in the text is positive,food
62,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,positive,1,1,which category in the text is positive,food
63,it's a perfect place to have a amanzing indian food.,food,positive,1,1,which category in the text is positive,food
64,The place is so cool and the service is prompt and curtious.,service,positive,1,1,which category in the text is positive,service
65,The place is so cool and the service is prompt and curtious.,ambience,positive,1,1,which category in the text is positive,ambience
66,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive,1,1,which category in the text is positive,food
67,I just wonder how you can have such a delicious meal for such little money.,price,positive,1,1,which category in the text is positive,price
68,I just wonder how you can have such a delicious meal for such little money.,food,positive,1,1,which category in the text is positive,food
69,The wine list is excellent.,food,positive,1,1,which category in the text is positive,food
70,so garantuan that you can't fit them in a toaster.,food,positive,1,1,which category in the text is positive,food
71,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,positive,1,1,which category in the text is positive,food
72,They wouldnt even let me finish my glass of wine before offering another.,service,positive,1,1,which category in the text is positive,service
73,I highly recommend the Sophia pizza.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
74,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",service,negative,0,1,which category in the text is negative,service
75,This is a consistently great place to dine for lunch or dinner.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
76,"Nice atmosphere, the service was very pleasant and the desert was good.",food,positive,1,1,which category in the text is positive,food
77,"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,1,1,which category in the text is positive,service
78,"Nice atmosphere, the service was very pleasant and the desert was good.",ambience,positive,1,1,which category in the text is positive,ambience
79,All the people that I bring there go back on their own and bring THEIR friends!,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
80,After really enjoying ourselves at the bar we sat down at a table and had dinner.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
81,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,1,1,which category in the text is positive,food
82,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,1,1,which category in the text is positive,service
83,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",ambience,positive,1,1,which category in the text is positive,ambience
84,Not what I wanted to hear.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
85,Try the lasagnette appetizer.,food,positive,1,1,which category in the text is positive,food
86,"Pricey, but worth a try, at least once.",price,negative,0,1,which category in the text is negative,price
87,"Pricey, but worth a try, at least once.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
88,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
89,I liked the beer selection!,food,positive,1,1,which category in the text is positive,food
90,"Great food, good size menu, great service and an unpretensious setting.",food,positive,1,1,which category in the text is positive,food
91,"Great food, good size menu, great service and an unpretensious setting.",service,positive,1,1,which category in the text is positive,service
92,"Great food, good size menu, great service and an unpretensious setting.",ambience,positive,1,1,which category in the text is positive,ambience
93,Can't wait to go back.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
94,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
95,Wine list selection is good and wine-by-the-glass was generously filled to the top.,food,positive,1,1,which category in the text is positive,food
96,"With the great variety on the menu , I eat here often and never get bored .",food,positive,1,1,which category in the text is positive,food
97,The menu is very limited - i think we counted 4 or 5 entrees.,food,negative,0,1,which category in the text is negative,food
98,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
99,Not too crazy about their sake martini.,food,negative,0,1,which category in the text is negative,food
100,"Great bagels, spreads and a good place to hang out in.",food,positive,1,1,which category in the text is positive,food
101,"Great bagels, spreads and a good place to hang out in.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
102,"whoever the jazz duo was, they were on POINT.",ambience,positive,1,1,which category in the text is positive,ambience
103,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,service,positive,1,1,which category in the text is positive,service
104,This place is a great bargain.,price,positive,1,1,which category in the text is positive,price
105,We happened upon this place purely by accident and were pleased with the results.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
106,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,1,1,which category in the text is positive,food
107,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
108,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
109,We always have a delicious meal and always leave feeling satisfied.,food,positive,1,1,which category in the text is positive,food
110,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",food,neutral,2,1,which category in the text is neutral,food
111,First went here to enjoy their garden terrace.,ambience,positive,1,1,which category in the text is positive,ambience
112,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",service,positive,1,1,which category in the text is positive,service
113,The pizza was pretty good and huge.,food,positive,1,1,which category in the text is positive,food
114,Sapphire is the only Indian restaurant I go to when I'm in NYC.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
115,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",food,neutral,2,1,which category in the text is neutral,food
116,I heartily recommend.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
117,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
118,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,ambience,positive,1,1,which category in the text is positive,ambience
119,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,1,1,which category in the text is positive,service
120,They are often crowded on the weekends but they are efficient and accurate with their service.,ambience,negative,0,1,which category in the text is negative,ambience
121,All my co-workers were amazed at how small the dish was.,food,negative,0,1,which category in the text is negative,food
122,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,1,1,which category in the text is positive,food
123,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,1,1,which category in the text is positive,service
124,"The atmosphere is unheralded, the service impecible, and the food magnificant.",ambience,positive,1,1,which category in the text is positive,ambience
125,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative,0,1,which category in the text is negative,food
126,"The wait staff is friendly, and the food has gotten better and better!",food,positive,1,1,which category in the text is positive,food
127,"The wait staff is friendly, and the food has gotten better and better!",service,positive,1,1,which category in the text is positive,service
128,"This place, which is only a few months old, is perhaps Queens' biggest secret!",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
129,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",food,positive,1,1,which category in the text is positive,food
130,This place is so much fun.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
131,I was glad I did.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
132,Right off the L in Brooklyn this is a nice cozy place with good pizza.,food,positive,1,1,which category in the text is positive,food
133,Right off the L in Brooklyn this is a nice cozy place with good pizza.,ambience,positive,1,1,which category in the text is positive,ambience
134,I've never been treated so rudely.,service,negative,0,1,which category in the text is negative,service
135,I'll be back soon.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
136,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,food,positive,1,1,which category in the text is positive,food
137,Went inside and I started to get excited.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
138,I also ordered for delivery and the restaurant forgot half the order.,service,negative,0,1,which category in the text is negative,service
139,Our server checked on us maybe twice during the entire meal.,service,negative,0,1,which category in the text is negative,service
140,"However, it is jus too good to not praise it.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
141,We have been to Montparnasse many times and return often for good reason.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
142,The strong scents coming from the left and right of me negatively affected my taste buds.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
143,We had the lobster sandwich and it was FANTASTIC.,food,positive,1,1,which category in the text is positive,food
144,It's somewhere you can eat and be happy.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
145,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
146,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",service,negative,0,1,which category in the text is negative,service
147,but overall i give it a 10,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
148,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",food,positive,1,1,which category in the text is positive,food
149,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,1,1,which category in the text is positive,price
150,Deep Fried Skewers are good and still rare to find in NYC.,food,positive,1,1,which category in the text is positive,food
151,"I have tried to make reservations, but both times, the hostess didn't have my name.",service,negative,0,1,which category in the text is negative,service
152,I also recommend the rice dishes or the different varieties of congee (rice porridge).,food,positive,1,1,which category in the text is positive,food
153,Their tuna tartar appetizer is to die for.,food,positive,1,1,which category in the text is positive,food
154,This was one of the BEST restaurants I've ever been to.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
155,This restaurant used to be pretty decent.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
156,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",food,positive,1,1,which category in the text is positive,food
157,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",food,positive,1,1,which category in the text is positive,food
158,I love Indian food and consider myself to be quite an expert on it.,food,positive,1,1,which category in the text is positive,food
159,Some baby pizzas get their wish.,food,neutral,2,1,which category in the text is neutral,food
160,Plenty of choices to make your own creation.,food,positive,1,1,which category in the text is positive,food
161,It was tiny and I felt like I was eating in someone's living room.,ambience,negative,0,1,which category in the text is negative,ambience
162,I was there on sat.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
163,Overall A oh ya even though there is waiting it is deff worth it,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
164,Overall A oh ya even though there is waiting it is deff worth it,service,negative,0,1,which category in the text is negative,service
165,The lava cake dessert was incredible and I recommend it.,food,positive,1,1,which category in the text is positive,food
166,VT is what baby pizzas hope to be when they grow up.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
167,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,0,1,which category in the text is negative,food
168,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,0,1,which category in the text is negative,service
169,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,1,1,which category in the text is positive,food
170,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,price,positive,1,1,which category in the text is positive,price
171,The last time I went we were seated at a table in a corridor next to the kitchen.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
172,good selection of wines ranging from affordable to high end.,food,positive,1,1,which category in the text is positive,food
173,"Nice restaurant overall, with classic upscale Italian decor.",ambience,positive,1,1,which category in the text is positive,ambience
174,Not impressed with the food.,food,negative,0,1,which category in the text is negative,food
175,The entire dining experience was wonderful!,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
176,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,food,positive,1,1,which category in the text is positive,food
177,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
178,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,service,positive,1,1,which category in the text is positive,service
179,"Order the panang duck, it's fantastic.",food,positive,1,1,which category in the text is positive,food
180,What more can you ask for?,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
181,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
182,They have authentic Indian at amazin prices.,food,positive,1,1,which category in the text is positive,food
183,They have authentic Indian at amazin prices.,price,positive,1,1,which category in the text is positive,price
184,You are treated just like royality.,service,positive,1,1,which category in the text is positive,service
185,Ambiance- relaxed and stylish.,ambience,positive,1,1,which category in the text is positive,ambience
186,I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
187,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",food,positive,1,1,which category in the text is positive,food
188,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",food,negative,0,1,which category in the text is negative,food
189,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",ambience,negative,0,1,which category in the text is negative,ambience
190,and yes Dal Bukhara is so dam good and so are all the kababs.,food,positive,1,1,which category in the text is positive,food
191,I look forward to eating here again,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
192,I've been coming here as a child and always come back for the taste.,food,positive,1,1,which category in the text is positive,food
193,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,food,positive,1,1,which category in the text is positive,food
194,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,ambience,positive,1,1,which category in the text is positive,ambience
195,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,1,1,which category in the text is positive,price
196,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",food,positive,1,1,which category in the text is positive,food
197,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",food,negative,0,1,which category in the text is negative,food
198,The food always tastes fresh and served promptly.,food,positive,1,1,which category in the text is positive,food
199,The food always tastes fresh and served promptly.,service,positive,1,1,which category in the text is positive,service
200,I know because I live nearby.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
201,The pizza here is delicious.,food,positive,1,1,which category in the text is positive,food
202,My entire family was horrified.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
203,On a monthly basis my friends and I get together and have a girls night out.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
204,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",food,positive,1,1,which category in the text is positive,food
205,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",service,positive,1,1,which category in the text is positive,service
206,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",food,positive,1,1,which category in the text is positive,food
207,But who says Murray's is anything about service.,service,neutral,2,1,which category in the text is neutral,service
208,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative,0,1,which category in the text is negative,food
209,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
210,I have NEVER been disappointed in the Red Eye.,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
211,Hats off to the chef.,food,positive,1,1,which category in the text is positive,food
212,This should have been done in a back room - away from customers.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
213,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
214,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",service,negative,0,1,which category in the text is negative,service
215,Glad you have the luxury to throw out paying customers.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
216,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",food,positive,1,1,which category in the text is positive,food
217,Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive,1,1,which category in the text is positive,food
218,Its an excellent place to relax and the food is one of the best in the city of New York.,ambience,positive,1,1,which category in the text is positive,ambience
219,"service is friendly, and never had a problem walking in and getting a table.",service,positive,1,1,which category in the text is positive,service
220,Check it out,anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
221,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",service,negative,0,1,which category in the text is negative,service
222,Don't go.,anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
223,The food was bland oily.,food,negative,0,1,which category in the text is negative,food
224,But they do.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
225,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive,1,1,which category in the text is positive,food
226,"What is even better, is that the prices are very affordable as well, and the food is really good.",price,positive,1,1,which category in the text is positive,price
227,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
228,Suan has challenged this loyalty.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
229,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",food,positive,1,1,which category in the text is positive,food
230,"And Kruno, the beverage manager is the best bartender I have yet to come across.",service,positive,1,1,which category in the text is positive,service
231,"Ambiance and music funky, which I enjoy.",ambience,positive,1,1,which category in the text is positive,ambience
232,"The food, drinks and service are clearly among the best in the city.",food,positive,1,1,which category in the text is positive,food
233,"The food, drinks and service are clearly among the best in the city.",service,positive,1,1,which category in the text is positive,service
234,I went there in late afternoon for some bite size food and refleshment with my date.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
235,"It's a really great deal, considering we got full off of four dollars.",price,positive,1,1,which category in the text is positive,price
236,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",food,positive,1,1,which category in the text is positive,food
237,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambience,positive,1,1,which category in the text is positive,ambience
238,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive,1,1,which category in the text is positive,service
239,Went with mommy (the only person who could afford taking me here).,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
240,My friends and I were on vacation in NY and was referred to Chance by a friend.,anecdotes/miscellaneous,neutral,2,1,which category in the text is neutral,anecdotes/miscellaneous
241,"Last time I went here, the waitress didn't come back after taking our order.",service,negative,0,1,which category in the text is negative,service
242,Try the tandoori salmon!,food,positive,1,1,which category in the text is positive,food
243,"I am completely hooked on this place, it is ridiculous.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
244,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",anecdotes/miscellaneous,negative,0,1,which category in the text is negative,anecdotes/miscellaneous
245,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",ambience,positive,1,1,which category in the text is positive,ambience
246,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive,1,1,which category in the text is positive,service
247,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",ambience,negative,0,1,which category in the text is negative,ambience
248,"Have recommended the place to friends, always gets good response.",anecdotes/miscellaneous,positive,1,1,which category in the text is positive,anecdotes/miscellaneous
