,text,term,polarity,polarity_id,label
40,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,1,1
41,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,1,1
42,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,1,1
43,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,1,1
44,this little place has a cute interior decor and affordable city prices.,interior decor,positive,1,1
45,this little place has a cute interior decor and affordable city prices.,prices,positive,1,1
46,Two words: Free wine.,wine,positive,1,1
47,The price is reasonable although the service is poor.,price,positive,1,1
48,The price is reasonable although the service is poor.,service,negative,0,1
49,"The quantity is also very good, you will come out satisfied.",quantity,positive,1,1
50,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,2,1
51,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,2,1
52,The fried rice is amazing here.,fried rice,positive,1,1
53,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,1,1
54,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,1,1
55,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,1,1
56,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,1,1
57,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral,2,1
58,it's a perfect place to have a amanzing indian food.,indian food,positive,1,1
59,The place is so cool and the service is prompt and curtious.,service,positive,1,1
60,The place is so cool and the service is prompt and curtious.,place,positive,1,1
61,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,1,1
62,I just wonder how you can have such a delicious meal for such little money.,meal,positive,1,1
63,I just wonder how you can have such a delicious meal for such little money.,money,positive,1,1
64,The wine list is excellent.,wine list,positive,1,1
65,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,1,1
66,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,2,1
67,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,2,1
68,This is a consistently great place to dine for lunch or dinner.,lunch,neutral,2,1
69,This is a consistently great place to dine for lunch or dinner.,dinner,neutral,2,1
70,This is a consistently great place to dine for lunch or dinner.,dine,positive,1,1
71,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,1,1
72,"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,1,1
73,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,1,1
74,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,1,1
75,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,2,1
76,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,2,1
77,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,1,1
78,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,1,1
79,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,1,1
80,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,1,1
81,Try the lasagnette appetizer.,lasagnette appetizer,positive,1,1
82,I liked the beer selection!,beer selection,positive,1,1
83,"Great food, good size menu, great service and an unpretensious setting.",food,positive,1,1
84,"Great food, good size menu, great service and an unpretensious setting.",menu,positive,1,1
85,"Great food, good size menu, great service and an unpretensious setting.",service,positive,1,1
86,"Great food, good size menu, great service and an unpretensious setting.",setting,positive,1,1
87,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,1,1
88,Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,1,1
89,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,2,1
90,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,1,1
91,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,1,1
92,"With the great variety on the menu , I eat here often and never get bored .",menu,positive,1,1
93,The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,0,1
94,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,0,1
95,The menu is limited but almost all of the dishes are excellent.,menu,negative,0,1
96,The menu is limited but almost all of the dishes are excellent.,dishes,positive,1,1
97,Not too crazy about their sake martini.,sake martini,negative,0,1
98,"Great bagels, spreads and a good place to hang out in.",bagels,positive,1,1
99,"Great bagels, spreads and a good place to hang out in.",spreads,positive,1,1
100,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,2,1
101,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,1,1
102,We always have a delicious meal and always leave feeling satisfied.,meal,positive,1,1
103,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,2,1
104,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,2,1
105,First went here to enjoy their garden terrace.,garden terrace,positive,1,1
106,The pizza was pretty good and huge.,pizza,positive,1,1
107,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,2,1
108,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,1,1
109,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,1,1
110,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,0,1
111,All my co-workers were amazed at how small the dish was.,dish,negative,0,1
112,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,1,1
113,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,1,1
114,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,1,1
115,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,0,1
116,"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,1,1
117,"The wait staff is friendly, and the food has gotten better and better!",food,positive,1,1
118,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,1,1
119,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,1,1
120,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,0,1
121,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,1,1
122,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,1,1
123,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,1,1
124,I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,0,1
125,I also ordered for delivery and the restaurant forgot half the order.,order,negative,0,1
126,Our server checked on us maybe twice during the entire meal.,server,negative,0,1
127,Our server checked on us maybe twice during the entire meal.,meal,neutral,2,1
128,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,0,1
129,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,1,1
130,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,0,1
131,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,1,1
132,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,1,1
133,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,1,1
134,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,2,1
135,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,0,1
136,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,1,1
137,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,1,1
138,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,1,1
139,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,1,1
140,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,1,1
141,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,1,1
142,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,1,1
143,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive,1,1
144,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,1,1
145,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive,1,1
146,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive,1,1
147,I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,1,1
148,Some baby pizzas get their wish.,baby pizzas,neutral,2,1
149,Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,0,1
150,The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,1,1
151,VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,2,1
152,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,0,1
153,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,0,1
154,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative,0,1
155,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,1,1
156,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,1,1
157,The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,0,1
158,good selection of wines ranging from affordable to high end.,selection of wines,positive,1,1
159,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive,1,1
160,Not impressed with the food.,food,negative,0,1
161,The entire dining experience was wonderful!,dining experience,positive,1,1
162,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,1,1
163,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral,2,1
164,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive,1,1
165,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,1,1
166,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,0,1
167,"Order the panang duck, it's fantastic.",panang duck,positive,1,1
168,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,0,1
169,"Other than the crappy service from two individuals, it's great.",service,negative,0,1
170,They have authentic Indian at amazin prices.,Indian,positive,1,1
171,They have authentic Indian at amazin prices.,prices,positive,1,1
172,Ambiance- relaxed and stylish.,Ambiance,positive,1,1
173,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,positive,1,1
174,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,positive,1,1
175,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,positive,1,1
176,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,1,1
177,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,1,1
178,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,0,1
179,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral,2,1
180,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive,1,1
181,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,positive,1,1
182,I look forward to eating here again,eating,positive,1,1
183,I've been coming here as a child and always come back for the taste.,taste,positive,1,1
184,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,1,1
185,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,1,1
186,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive,1,1
187,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,1,1
188,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,positive,1,1
189,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral,2,1
190,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,0,1
191,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,0,1
192,The food always tastes fresh and served promptly.,food,positive,1,1
193,The food always tastes fresh and served promptly.,served,positive,1,1
194,The pizza here is delicious.,pizza,positive,1,1
195,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,positive,1,1
196,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive,1,1
197,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,positive,1,1
198,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,positive,1,1
199,But who says Murray's is anything about service.,service,neutral,2,1
200,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative,0,1
201,Hats off to the chef.,chef,positive,1,1
202,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,negative,0,1
203,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,positive,1,1
204,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive,1,1
205,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,positive,1,1
206,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,negative,0,1
207,Its an excellent place to relax and the food is one of the best in the city of New York.,place,positive,1,1
208,Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive,1,1
209,"service is friendly, and never had a problem walking in and getting a table.",service,positive,1,1
210,"service is friendly, and never had a problem walking in and getting a table.",getting a table,positive,1,1
211,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,positive,1,1
212,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative,0,1
213,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,2,1
214,The food was bland oily.,food,negative,0,1
215,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,positive,1,1
216,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive,1,1
217,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,positive,1,1
218,The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative,0,1
219,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,positive,1,1
220,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,positive,1,1
221,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,positive,1,1
222,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive,1,1
223,"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,positive,1,1
224,"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,positive,1,1
225,"Ambiance and music funky, which I enjoy.",Ambiance,positive,1,1
226,"Ambiance and music funky, which I enjoy.",music,positive,1,1
227,"The food, drinks and service are clearly among the best in the city.",food,positive,1,1
228,"The food, drinks and service are clearly among the best in the city.",drinks,positive,1,1
229,"The food, drinks and service are clearly among the best in the city.",service,positive,1,1
230,I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral,2,1
231,I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral,2,1
232,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,positive,1,1
233,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive,1,1
234,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,positive,1,1
235,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,positive,1,1
236,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,positive,1,1
237,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,positive,1,1
238,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,positive,1,1
239,"Last time I went here, the waitress didn't come back after taking our order.",waitress,negative,0,1
240,Try the tandoori salmon!,tandoori salmon,positive,1,1
241,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive,1,1
242,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,negative,0,1
243,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive,1,1
244,I love the atmorphere @ peep!,atmorphere,positive,1,1
245,The service was attentive and her suggestions of menu items was right on the mark.,service,positive,1,1
246,The service was attentive and her suggestions of menu items was right on the mark.,menu items,positive,1,1
247,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,positive,1,1
248,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",Pizza,positive,1,1
249,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,positive,1,1
250,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative,0,1
251,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative,0,1
252,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,positive,1,1
253,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,2,1
254,What came to our table was burned beyond recognition and stringy.,table,neutral,2,1
255,I had the Pad Thai and the noodles were sticky.,Pad Thai,negative,0,1
256,I had the Pad Thai and the noodles were sticky.,noodles,negative,0,1
257,"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,2,1
258,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,positive,1,1
259,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,positive,1,1
260,The hostess is rude to the point of being offensive.,hostess,negative,0,1
261,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive,1,1
262,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait building,negative,0,1
263,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,negative,0,1
264,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,negative,0,1
265,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,negative,0,1
266,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,negative,0,1
267,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,neutral,2,1
268,The food is great.,food,positive,1,1
269,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive,1,1
270,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive,1,1
271,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,positive,1,1
272,"Lunch came with pickels and slaw, no extra charge.",Lunch,positive,1,1
273,"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,neutral,2,1
274,Decent wine at reasonable prices.,wine,positive,1,1
275,Decent wine at reasonable prices.,prices,positive,1,1
276,All conveniently delivered right to the door.,delivered,positive,1,1
277,even the wine by the glass was good.,wine by the glass,positive,1,1
278,would have rather tried terrace in the sky or water club for that price,price,negative,0,1
279,This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive,1,1
280,"I also ordered the Change Mojito, which was out of this world.",Change Mojito,positive,1,1
281,Okay service.,service,neutral,2,1
282,The only thing more wonderful than the food (which is exceptional) is the service.,food,positive,1,1
283,The only thing more wonderful than the food (which is exceptional) is the service.,service,positive,1,1
284,"The food was just awful, ATROCIOUS actually.",food,negative,0,1
285,The soup for the udon was soy sauce and water.,soup for the udon,negative,0,1
286,The soup for the udon was soy sauce and water.,soy sauce,neutral,2,1
287,The soup for the udon was soy sauce and water.,water,neutral,2,1
288,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,positive,1,1
289,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,positive,1,1
290,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,positive,1,1
291,The waitress suggested glasses of wine that went very well with the food.,waitress,positive,1,1
292,The waitress suggested glasses of wine that went very well with the food.,food,neutral,2,1
293,The waitress suggested glasses of wine that went very well with the food.,glasses of wine,positive,1,1
294,"They might be all business at the counter when you give your order, but their food says I love you.",food,positive,1,1
295,"They might be all business at the counter when you give your order, but their food says I love you.",counter,negative,0,1
296,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive,1,1
297,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),positive,1,1
