,Unnamed: 0,text,term,polarity,polarity_id,label,question,answer
53,53,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,1,1,what is the sentiment of mussels,The sentiment is positive
54,54,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,1,1,what is the sentiment of puff pastry goat cheese,The sentiment is positive
55,55,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,1,1,what is the sentiment of salad with a delicious dressing,The sentiment is positive
56,56,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,1,1,what is the sentiment of hanger steak au poivre,The sentiment is positive
57,57,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral,2,1,what is the sentiment of courses,The sentiment is neutral
58,58,it's a perfect place to have a amanzing indian food.,indian food,positive,1,1,what is the sentiment of indian food,The sentiment is positive
59,59,The place is so cool and the service is prompt and curtious.,service,positive,1,1,what is the sentiment of service,The sentiment is positive
60,60,The place is so cool and the service is prompt and curtious.,place,positive,1,1,what is the sentiment of place,The sentiment is positive
61,61,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,1,1,what is the sentiment of broth with noodles,The sentiment is positive
62,62,I just wonder how you can have such a delicious meal for such little money.,meal,positive,1,1,what is the sentiment of meal,The sentiment is positive
63,63,I just wonder how you can have such a delicious meal for such little money.,money,positive,1,1,what is the sentiment of money,The sentiment is positive
64,64,The wine list is excellent.,wine list,positive,1,1,what is the sentiment of wine list,The sentiment is positive
65,65,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,1,1,what is the sentiment of Thai food,The sentiment is positive
66,66,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,2,1,what is the sentiment of glass of wine,The sentiment is neutral
67,67,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,2,1,what is the sentiment of specials,The sentiment is neutral
68,68,This is a consistently great place to dine for lunch or dinner.,lunch,neutral,2,1,what is the sentiment of lunch,The sentiment is neutral
69,69,This is a consistently great place to dine for lunch or dinner.,dinner,neutral,2,1,what is the sentiment of dinner,The sentiment is neutral
70,70,This is a consistently great place to dine for lunch or dinner.,dine,positive,1,1,what is the sentiment of dine,The sentiment is positive
71,71,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,1,1,what is the sentiment of atmosphere,The sentiment is positive
72,72,"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,1,1,what is the sentiment of service,The sentiment is positive
73,73,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,1,1,what is the sentiment of desert,The sentiment is positive
74,74,After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,1,1,what is the sentiment of bar,The sentiment is positive
75,75,After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,2,1,what is the sentiment of table,The sentiment is neutral
76,76,After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,2,1,what is the sentiment of dinner,The sentiment is neutral
77,77,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,1,1,what is the sentiment of service,The sentiment is positive
78,78,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
79,79,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,1,1,what is the sentiment of atmosphere,The sentiment is positive
80,80,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,1,1,what is the sentiment of environment,The sentiment is positive
81,81,Try the lasagnette appetizer.,lasagnette appetizer,positive,1,1,what is the sentiment of lasagnette appetizer,The sentiment is positive
82,82,I liked the beer selection!,beer selection,positive,1,1,what is the sentiment of beer selection,The sentiment is positive
83,83,"Great food, good size menu, great service and an unpretensious setting.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
84,84,"Great food, good size menu, great service and an unpretensious setting.",menu,positive,1,1,what is the sentiment of menu,The sentiment is positive
85,85,"Great food, good size menu, great service and an unpretensious setting.",service,positive,1,1,what is the sentiment of service,The sentiment is positive
86,86,"Great food, good size menu, great service and an unpretensious setting.",setting,positive,1,1,what is the sentiment of setting,The sentiment is positive
87,87,Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,1,1,what is the sentiment of dinner,The sentiment is positive
88,88,Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,1,1,what is the sentiment of dining,The sentiment is positive
89,89,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,2,1,what is the sentiment of Dosa,The sentiment is neutral
90,90,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,1,1,what is the sentiment of Wine list selection,The sentiment is positive
91,91,Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,1,1,what is the sentiment of wine-by-the-glass,The sentiment is positive
92,92,"With the great variety on the menu , I eat here often and never get bored .",menu,positive,1,1,what is the sentiment of menu,The sentiment is positive
93,93,The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,0,1,what is the sentiment of menu,The sentiment is negative
94,94,The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,0,1,what is the sentiment of entrees,The sentiment is negative
95,95,The menu is limited but almost all of the dishes are excellent.,menu,negative,0,1,what is the sentiment of menu,The sentiment is negative
96,96,The menu is limited but almost all of the dishes are excellent.,dishes,positive,1,1,what is the sentiment of dishes,The sentiment is positive
97,97,Not too crazy about their sake martini.,sake martini,negative,0,1,what is the sentiment of sake martini,The sentiment is negative
98,98,"Great bagels, spreads and a good place to hang out in.",bagels,positive,1,1,what is the sentiment of bagels,The sentiment is positive
99,99,"Great bagels, spreads and a good place to hang out in.",spreads,positive,1,1,what is the sentiment of spreads,The sentiment is positive
100,100,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,2,1,what is the sentiment of table,The sentiment is neutral
101,101,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
102,102,We always have a delicious meal and always leave feeling satisfied.,meal,positive,1,1,what is the sentiment of meal,The sentiment is positive
103,103,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,2,1,what is the sentiment of ingredients,The sentiment is neutral
104,104,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,2,1,what is the sentiment of chopsticks,The sentiment is neutral
105,105,First went here to enjoy their garden terrace.,garden terrace,positive,1,1,what is the sentiment of garden terrace,The sentiment is positive
106,106,The pizza was pretty good and huge.,pizza,positive,1,1,what is the sentiment of pizza,The sentiment is positive
107,107,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,2,1,what is the sentiment of cuisine,The sentiment is neutral
108,108,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,1,1,what is the sentiment of atmosphere,The sentiment is positive
109,109,They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,1,1,what is the sentiment of service,The sentiment is positive
110,110,They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,0,1,what is the sentiment of crowded,The sentiment is negative
111,111,All my co-workers were amazed at how small the dish was.,dish,negative,0,1,what is the sentiment of dish,The sentiment is negative
112,112,"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,1,1,what is the sentiment of atmosphere,The sentiment is positive
113,113,"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,1,1,what is the sentiment of service,The sentiment is positive
114,114,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,1,1,what is the sentiment of food,The sentiment is positive
115,115,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,0,1,what is the sentiment of grilled branzino,The sentiment is negative
116,116,"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,1,1,what is the sentiment of wait staff,The sentiment is positive
117,117,"The wait staff is friendly, and the food has gotten better and better!",food,positive,1,1,what is the sentiment of food,The sentiment is positive
118,118,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,1,1,what is the sentiment of vibe,The sentiment is positive
119,119,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,1,1,what is the sentiment of French food,The sentiment is positive
120,120,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,0,1,what is the sentiment of packed,The sentiment is negative
121,121,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,1,1,what is the sentiment of pizza,The sentiment is positive
122,122,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,1,1,what is the sentiment of place,The sentiment is positive
123,123,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,1,1,what is the sentiment of pre-theater menu,The sentiment is positive
124,124,I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,0,1,what is the sentiment of delivery,The sentiment is negative
125,125,I also ordered for delivery and the restaurant forgot half the order.,order,negative,0,1,what is the sentiment of order,The sentiment is negative
126,126,Our server checked on us maybe twice during the entire meal.,server,negative,0,1,what is the sentiment of server,The sentiment is negative
127,127,Our server checked on us maybe twice during the entire meal.,meal,neutral,2,1,what is the sentiment of meal,The sentiment is neutral
128,128,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,0,1,what is the sentiment of scents,The sentiment is negative
129,129,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,1,1,what is the sentiment of lobster sandwich,The sentiment is positive
130,130,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,0,1,what is the sentiment of check,The sentiment is negative
131,131,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,1,1,what is the sentiment of price,The sentiment is positive
132,132,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,1,1,what is the sentiment of shell crab,The sentiment is positive
133,133,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,1,1,what is the sentiment of Deep Fried Skewers,The sentiment is positive
134,134,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,2,1,what is the sentiment of reservations,The sentiment is neutral
135,135,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,0,1,what is the sentiment of hostess,The sentiment is negative
136,136,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,1,1,what is the sentiment of rice dishes,The sentiment is positive
137,137,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,1,1,what is the sentiment of congee (rice porridge),The sentiment is positive
138,138,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,1,1,what is the sentiment of tuna tartar appetizer,The sentiment is positive
139,139,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,1,1,what is the sentiment of chef,The sentiment is positive
140,140,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,1,1,what is the sentiment of fish dishes,The sentiment is positive
141,141,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,1,1,what is the sentiment of soups,The sentiment is positive
142,142,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,1,1,what is the sentiment of kitchen,The sentiment is positive
143,143,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive,1,1,what is the sentiment of cuisine,The sentiment is positive
144,144,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,1,1,what is the sentiment of wine,The sentiment is positive
145,145,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive,1,1,what is the sentiment of french fare,The sentiment is positive
146,146,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive,1,1,what is the sentiment of cheese,The sentiment is positive
147,147,I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,1,1,what is the sentiment of Indian food,The sentiment is positive
148,148,Some baby pizzas get their wish.,baby pizzas,neutral,2,1,what is the sentiment of baby pizzas,The sentiment is neutral
149,149,Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,0,1,what is the sentiment of waiting,The sentiment is negative
150,150,The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,1,1,what is the sentiment of lava cake dessert,The sentiment is positive
151,151,VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,2,1,what is the sentiment of baby pizzas,The sentiment is neutral
152,152,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,0,1,what is the sentiment of service,The sentiment is negative
153,153,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,0,1,what is the sentiment of food,The sentiment is negative
154,154,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative,0,1,what is the sentiment of managers,The sentiment is negative
155,155,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,1,1,what is the sentiment of food,The sentiment is positive
156,156,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,1,1,what is the sentiment of food,The sentiment is positive
157,157,The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,0,1,what is the sentiment of table,The sentiment is negative
158,158,good selection of wines ranging from affordable to high end.,selection of wines,positive,1,1,what is the sentiment of selection of wines,The sentiment is positive
159,159,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive,1,1,what is the sentiment of Italian decor,The sentiment is positive
160,160,Not impressed with the food.,food,negative,0,1,what is the sentiment of food,The sentiment is negative
161,161,The entire dining experience was wonderful!,dining experience,positive,1,1,what is the sentiment of dining experience,The sentiment is positive
162,162,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,1,1,what is the sentiment of wine selection,The sentiment is positive
163,163,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral,2,1,what is the sentiment of reservation,The sentiment is neutral
164,164,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive,1,1,what is the sentiment of Service,The sentiment is positive
165,165,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,1,1,what is the sentiment of maitre,The sentiment is positive
166,166,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,0,1,what is the sentiment of reservation,The sentiment is negative
167,167,"Order the panang duck, it's fantastic.",panang duck,positive,1,1,what is the sentiment of panang duck,The sentiment is positive
168,168,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,0,1,what is the sentiment of raw vegatables,The sentiment is negative
169,169,"Other than the crappy service from two individuals, it's great.",service,negative,0,1,what is the sentiment of service,The sentiment is negative
170,170,They have authentic Indian at amazin prices.,Indian,positive,1,1,what is the sentiment of Indian,The sentiment is positive
171,171,They have authentic Indian at amazin prices.,prices,positive,1,1,what is the sentiment of prices,The sentiment is positive
172,172,Ambiance- relaxed and stylish.,Ambiance,positive,1,1,what is the sentiment of Ambiance,The sentiment is positive
173,173,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,positive,1,1,what is the sentiment of BBQ Salmon,The sentiment is positive
174,174,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,positive,1,1,what is the sentiment of Sea Bass,The sentiment is positive
175,175,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,positive,1,1,what is the sentiment of Crispy Duck,The sentiment is positive
176,176,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,1,1,what is the sentiment of ingredients,The sentiment is positive
177,177,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,1,1,what is the sentiment of ingredients,The sentiment is positive
178,178,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,0,1,what is the sentiment of pizza,The sentiment is negative
179,179,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral,2,1,what is the sentiment of crust,The sentiment is neutral
180,180,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive,1,1,what is the sentiment of kababs,The sentiment is positive
181,181,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,positive,1,1,what is the sentiment of Dal Bukhara,The sentiment is positive
182,182,I look forward to eating here again,eating,positive,1,1,what is the sentiment of eating,The sentiment is positive
183,183,I've been coming here as a child and always come back for the taste.,taste,positive,1,1,what is the sentiment of taste,The sentiment is positive
184,184,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,1,1,what is the sentiment of meal,The sentiment is positive
185,185,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,1,1,what is the sentiment of price,The sentiment is positive
186,186,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive,1,1,what is the sentiment of glass of prosecco,The sentiment is positive
187,187,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,1,1,what is the sentiment of mussels,The sentiment is positive
188,188,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,positive,1,1,what is the sentiment of glass of Leaping Lizard,The sentiment is positive
189,189,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral,2,1,what is the sentiment of Food,The sentiment is neutral
190,190,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,0,1,what is the sentiment of creme brulee,The sentiment is negative
191,191,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,0,1,what is the sentiment of sugar,The sentiment is negative
192,192,The food always tastes fresh and served promptly.,food,positive,1,1,what is the sentiment of food,The sentiment is positive
193,193,The food always tastes fresh and served promptly.,served,positive,1,1,what is the sentiment of served,The sentiment is positive
194,194,The pizza here is delicious.,pizza,positive,1,1,what is the sentiment of pizza,The sentiment is positive
195,195,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,positive,1,1,what is the sentiment of Pizza,The sentiment is positive
196,196,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive,1,1,what is the sentiment of delivery,The sentiment is positive
197,197,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,positive,1,1,what is the sentiment of garlic knots,The sentiment is positive
198,198,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,positive,1,1,what is the sentiment of chinese food,The sentiment is positive
199,199,But who says Murray's is anything about service.,service,neutral,2,1,what is the sentiment of service,The sentiment is neutral
